GaiaDR3_ID,TIC_ID,sector,Tmag,skew_flux,kurt_flux,num_flares,ED_flare,median_flux,iqr_half_flux,camera,ccd,cadence_s
2101507470508342016,137089993,81,13.0982,-0.0308634303510189,0.2860345840454101,,,998.7130737304688,7.237006664276123,3.0,2.0,120.0
2101507470508342016,137089993,82,13.0982,0.0481288284063339,0.4888153076171875,,,886.0153198242188,6.847686767578125,3.0,1.0,120.0
2101380545634324096,394174221,74,12.8335,0.0439987815916538,0.1879396438598632,,,1152.1439208984375,6.768347263336182,4.0,1.0,120.0
2101380545634324096,394174221,75,12.8335,0.0123885869979858,0.1277494430541992,,,1109.510009765625,7.470842361450195,4.0,2.0,120.0
2101380545634324096,394174221,80,12.8335,-0.0233718212693929,0.1160142421722412,,,1140.628173828125,7.741496562957764,3.0,2.0,120.0
2101380545634324096,394174221,82,12.8335,0.0211627073585987,-0.0162882804870605,,,1136.432861328125,6.822165489196777,3.0,1.0,120.0
2053626934575934464,137626872,74,12.9667,0.0044627464376389,0.1798579692840576,,,1037.121826171875,7.640605449676514,4.0,1.0,120.0
2053626934575934464,137626872,75,12.9667,-0.004344796296209,0.049105167388916,,,1008.042236328125,7.468154430389404,4.0,2.0,120.0
2053626934575934464,137626872,81,12.9667,0.034676905721426,-0.0492982864379882,,,1148.9027099609375,7.956503868103027,3.0,2.0,120.0
2053626934575934464,137626872,82,12.9667,0.7038911581039429,16.588838577270508,,,1123.966552734375,8.005353927612305,3.0,1.0,120.0
2104054832788419072,120420633,40,12.9774,0.0144612155854702,0.2016184329986572,,,1081.2615966796875,7.004126071929932,2.0,4.0,120.0
2104054832788419072,120420633,41,12.9774,0.0123852360993623,0.2245635986328125,,,1080.7354736328125,7.232551097869873,2.0,3.0,120.0
2104054832788419072,120420633,53,12.9774,0.0344214104115963,0.1016931533813476,,,1194.530517578125,8.023847579956055,2.0,4.0,120.0
2104054832788419072,120420633,54,12.9774,-0.0045082988217473,0.0712335109710693,,,1121.39404296875,7.220307350158691,3.0,1.0,120.0
2104054832788419072,120420633,80,12.9774,0.0220014993101358,0.2196919918060302,,,1105.250244140625,7.84243631362915,3.0,2.0,120.0
2104054832788419072,120420633,81,12.9774,0.4056865870952606,7.791692733764648,,,1046.8890380859375,6.928198337554932,3.0,1.0,120.0
2101675661427506432,137409501,74,12.8379,0.0156409628689289,0.1800239086151123,,,1149.99267578125,7.278210163116455,4.0,1.0,120.0
2101675661427506432,137409501,75,12.8379,0.0469232648611068,0.1821646690368652,,,1111.5081787109375,7.126455307006836,4.0,2.0,120.0
2101675661427506432,137409501,81,12.8379,0.0067872954532504,0.1236534118652343,,,1153.6337890625,6.849287033081055,3.0,2.0,120.0
2101675661427506432,137409501,82,12.8379,-0.0272753462195396,0.2491533756256103,,,1132.3431396484375,7.005197525024414,3.0,1.0,120.0
2077119748545602304,272180958,74,13.1964,0.0430488362908363,0.3195352554321289,,,747.4172973632812,7.457611083984375,4.0,1.0,120.0
2077119748545602304,272180958,75,13.1964,-0.0201903153210878,0.080784797668457,,,765.02880859375,6.840548038482666,4.0,2.0,120.0
2077119748545602304,272180958,81,13.1964,0.0216990578919649,0.0345897674560546,,,712.3973388671875,7.040487289428711,3.0,2.0,120.0
2077119748545602304,272180958,82,13.1964,-0.0017286177026107,-0.0059039592742919,,,726.4283447265625,6.723779201507568,3.0,1.0,120.0
2125777643502580864,63006978,74,13.2772,-0.0024104667827486,0.0123734474182128,,,767.8497924804688,7.848165035247803,4.0,1.0,120.0
2125777643502580864,63006978,81,13.2772,0.0563146919012069,0.0373146533966064,,,536.0679321289062,7.313061237335205,3.0,2.0,120.0
2077764169742391808,270705735,74,12.9234,0.0121263712644577,0.5159623622894287,,,1194.155029296875,8.446096420288086,4.0,1.0,120.0
2077764169742391808,270705735,75,12.9234,0.0392583981156349,0.1477298736572265,,,1156.576416015625,7.589076995849609,4.0,2.0,120.0
2077764169742391808,270705735,81,12.9234,0.0780133754014968,0.5563573837280273,,,1140.1182861328125,7.4224853515625,3.0,2.0,120.0
2077764169742391808,270705735,82,12.9234,0.0171793010085821,0.089174747467041,,,1111.8363037109375,7.05294942855835,3.0,1.0,120.0
